TicketID,CreatedAt,CustomerID,Language,Channel,IssueCategory,Priority,Description,AgentName,AdvisorName,DeskName,ResponseTimeMinutes,ResolutionTimeMinutes,CSAT,Sentiment,SupportQuality,Outcome,Organization,RefundAmount,Notes,CallTranscript
CFA-2025-0001,5/1/2025 10:49,CUST-56203,English,In-App,Fraud Alert,Medium,Unrecognized transaction triggered fraud hold.,B. Kim,Noah Fernandez,Fraud Operations,111,374,4,Positive,Excellent,Resolved,Contoso Financial Advisors,0,Resolved; follow-up scheduled.,"Agent (B. Kim): We received your in-app message. Customer: I see a fraud alert for something I didn't do. Agent (B. Kim): Could you share the exact time it occurred and any error message? Customer: Sure, I can provide that. "
CFA-2025-0002,5/11/2025 11:54,CUST-16648,Spanish,Email,KYC/Onboarding,High,Los documentos de verificación fueron rechazados repetidamente.,L. Nguyen,Camille Moreau,KYC Operations,229,481,5,Positive,Excellent,Resolved,Contoso Financial Advisors,0,Resuelto; seguimiento programado.,"Cliente: Claro, puedo proporcionarlo. Agent (L. Nguyen): Estoy revisando los registros y la política de permisos de su cuenta. Agent (L. Nguyen): He aplicado una solución y validado el resultado. Recibirá un correo con detalles, y su asesor/a Camille Moreau hará seguimiento durante 24 horas. Agent (L. Nguyen): ¿Hay algo más en lo que pueda ayudarle hoy? También recibirá una encuesta—su opinión nos ayuda mucho."
CFA-2025-0003,6/4/2025 18:51,CUST-40878,French,Chat,KYC/Onboarding,Medium,Documents de vérification refusés à plusieurs reprises.,C. Williams,Diego Alvarez,KYC Operations,2,,1,Neutral,Poor,Unresolved,Contoso Financial Advisors,31.26,Escaladé ; en attente de la mise à jour du spécialiste.,"Client : Oui, je peux fournir ces informations. Agent (C. Williams): Je consulte les journaux et la politique des autorisations de votre compte. Agent (C. Williams): J'ai transmis le dossier à l'équipe spécialisée et placé une alerte sur le compte. Le conseiller Diego Alvarez vous tiendra informé d'ici la fin de la journée. Agent (C. Williams): Nous vous tiendrons informé via votre moyen de contact préféré. Vous pouvez mentionner le numéro de ticket dans toute réponse."
CFA-2025-0004,4/21/2025 8:08,CUST-89923,English,Chat,Fraud Alert,Low,Unrecognized transaction triggered fraud hold.,J. Chen,Noah Fernandez,Fraud Operations,3,354,4,Positive,Excellent,Resolved,Contoso Financial Advisors,0,Resolved; follow-up scheduled.,"Agent (J. Chen): You're connected with Contoso Support. Customer: I see a fraud alert for something I didn't do. Agent (J. Chen): Could you share the exact time it occurred and any error message? Customer: Sure, I can provide that. "
CFA-2025-0005,7/12/2025 13:19,CUST-45355,Spanish,Phone,Fee Inquiry,Low,Consulta sobre tarifas de asesoría y tramos.,L. Nguyen,Ava Thompson,Billing Operations,3,110,4,Positive,Excellent,Resolved,Contoso Financial Advisors,62.49,Resuelto; seguimiento programado.,"Cliente: Claro, puedo proporcionarlo. Agent (L. Nguyen): Estoy revisando los registros y la política de permisos de su cuenta. Agent (L. Nguyen): He aplicado una solución y validado el resultado. Recibirá un correo con detalles, y su asesor/a Ava Thompson hará seguimiento durante 24 horas. Agent (L. Nguyen): ¿Hay algo más en lo que pueda ayudarle hoy? También recibirá una encuesta—su opinión nos ayuda mucho."
CFA-2025-0006,5/20/2025 11:37,CUST-36684,French,Email,Portfolio Performance,Medium,Le tableau de bord affiche des rendements incohérents.,S. Thompson,Sofia Romano,Advisory Analytics,122,619,3,Neutral,Average,Resolved,Contoso Financial Advisors,0,Résolu ; suivi planifié.,"Client : Oui, je peux fournir ces informations. Agent (S. Thompson): Je consulte les journaux et la politique des autorisations de votre compte. Agent (S. Thompson): J'ai appliqué un correctif et validé le résultat. Vous recevrez un e-mail détaillé, et votre conseiller/ère Sofia Romano assurera un suivi pendant 24 heures. Agent (S. Thompson): Puis-je vous aider avec autre chose aujourd'hui ? Vous recevrez aussi un sondage—votre avis nous aide beaucoup."
CFA-2025-0007,7/4/2025 13:08,CUST-31726,English,In-App,KYC/Onboarding,Low,Client verification documents rejected repeatedly.,B. Kim,Camille Moreau,KYC Operations,51,304,3,Positive,Average,Resolved,Contoso Financial Advisors,0,Resolved; follow-up scheduled.,"Agent (B. Kim): We received your in-app message. Customer: My ID keeps getting rejected. Agent (B. Kim): Could you share the exact time it occurred and any error message? Customer: Sure, I can provide that. "
CFA-2025-0008,7/13/2025 14:12,CUST-20802,Spanish,Branch,Transfer/ACH,Low,La transferencia ACH se retrasó o no se registró.,S. Thompson,Jean-Pierre Rousseau,Cash Operations,10,286,4,Negative,Excellent,Resolved,Contoso Financial Advisors,24.49,Resuelto; seguimiento programado.,"Cliente: Claro, puedo proporcionarlo. Agent (S. Thompson): Estoy revisando los registros y la política de permisos de su cuenta. Agent (S. Thompson): He aplicado una solución y validado el resultado. Recibirá un correo con detalles, y su asesor/a Jean-Pierre Rousseau hará seguimiento durante 24 horas. Agent (S. Thompson): ¿Hay algo más en lo que pueda ayudarle hoy? También recibirá una encuesta—su opinión nos ayuda mucho."
CFA-2025-0009,5/22/2025 18:30,CUST-94763,French,Email,Mobile App Bug,Low,L'application plante sur la vue portefeuille.,R. Gupta,Yuki Tanaka,Digital Platforms – Mobile,35,2301,3,Positive,Average,Resolved,Contoso Financial Advisors,20.58,Résolu ; suivi planifié.,"Client : Oui, je peux fournir ces informations. Agent (R. Gupta): Je consulte les journaux et la politique des autorisations de votre compte. Agent (R. Gupta): J'ai appliqué un correctif et validé le résultat. Vous recevrez un e-mail détaillé, et votre conseiller/ère Yuki Tanaka assurera un suivi pendant 24 heures. Agent (R. Gupta): Puis-je vous aider avec autre chose aujourd'hui ? Vous recevrez aussi un sondage—votre avis nous aide beaucoup."
CFA-2025-0010,4/19/2025 17:43,CUST-60947,English,Phone,Advisory Appointment,Low,Need to reschedule with advisor; calendar not syncing.,R. Gupta,Nadia Ben Ali,Advisory Services – Scheduling,3,,1,Negative,Poor,Unresolved,Contoso Financial Advisors,0,Escalated; awaiting specialist update.,"Agent (R. Gupta): Thank you for calling Contoso Financial Advisors. Customer: I need to reschedule with my advisor. Agent (R. Gupta): Could you share the exact time it occurred and any error message? Customer: Sure, I can provide that. "
